Trial,1,Sim Type,3,Distance Weight,1,Random Seed,15,Min Iterations,1500,Distance cost,0.6602464194171049,Manip Cost,0.5190278285725214,Total cost,0.6272340984462497,Object Reduction,0.0,Contact Sample Chance,0.2,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,0.0,1.636438093e-11,2.896242379078874e-05,3.043568181617892e-05,2.780902202916824e-05,2.821023493423402e-05,2.703081748501882e-05,2.69682169711982e-05,2.481391959598784e-05
Distance to Last Node,0.0,0.1,0.092,0.098,0.122,0.111,0.088,0.061,0.028,0.115
Total Cost,0.0,0.0767,0.14747,0.22298,0.31706,0.40263,0.47045,0.51754,0.53898,0.62723
Joint 0: ,0.4,0.198,-0.038,-0.239,-0.458,-0.578,-0.619,-0.654,-0.676,-0.658
Joint 1: ,-1.45,-1.394,-1.405,-1.381,-1.39,-1.291,-1.289,-1.306,-1.312,-1.393
Joint 2: ,1.0,0.991,1.151,1.203,1.365,1.154,1.189,1.087,1.08,0.924
Joint 3: ,-0.4,-0.626,-0.852,-1.008,-1.091,-1.035,-0.872,-0.694,-0.721,-0.502
Joint 4: ,-0.1,-0.1,-0.273,-0.33,-0.412,-0.357,-0.644,-0.63,-0.762,-1.14
Joint 5: ,-1.7,-1.751,-1.71,-1.784,-2.033,-2.163,-2.352,-2.349,-2.309,-2.196
Joint 6: ,0.5,0.487,-0.365,-0.629,-1.187,-0.855,-1.19,-1.968,-3.363,-3.462
Trial,2,Sim Type,3,Distance Weight,1,Random Seed,30,Min Iterations,1500,Distance cost,0.6544898342217633,Manip Cost,0.5457480808009514,Total cost,0.6217653425106752,Object Reduction,0.0,Contact Sample Chance,0.2,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,2.637032736991858e-05,2.661901125736898e-05,0.0,0.0,1.0,1.0,2.897695036e-11,3.574426195e-11,1.0,0.0
Distance to Last Node,0.0,0.098,0.05,0.121,0.05,0.095,0.112,0.097,0.071,0.113
